MOF,uptake_ads,uptake_des,del_q,heat_ads,heat_des,del_H_ads,LISD,LFSD,LISFS,Unit_cell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surface_area_A2,Number_of_pockets,AV_A3,AV_Volume_fraction,AV_cm3_per_g,NAV_A3,NAV_Volume_fraction,NAV_cm3_per_g,Channel_volume,Number_of_pockets.1,oms_value,Pocket_volume_A3,Pocket_surface_area_A2,No_of_Channel,Di,Df,Dif,H,Yb,Ir,K,V,Te,Mn,Co,Sr,Bi,Cd,Mg,P,Be,Cl,As,F,Pb,Pr,Mo,I,Er,Fe,Pu,Y,W,Gd,Sn,Se,Cs,B,Ge,C,Si,Ag,Pt,S,Th,Ca,Dy,Au,Rb,Zr,Ho,Br,Sc,Na,U,Pd,Nd,Ni,Np,N,Nb,Ru,Li,Lu,Zn,Hg,Hf,Sb,In,Eu,Ga,Tb,Tm,Sm,O,La,Cr,Ti,Ba,Rh,Ce,Cu,Al,Re,COP
SOTXAC_clean,0.205328021,0.178153277,0.027174744,-37.55715,-37.0164,-37.286775,6.02626,4.76528,6.02626,2140.5,1.25484,400.597,1871.51,1491.44,2.92784,13.6783,10.9005,1,400.597,2,202.491,0.0946,0.0753884,0,0,0,202.491,2,0,0,1.38607,1,6.02626,4.76528,6.02626,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0.147269895
WUYYEW_clean,0.3156027,0.288495701,0.027106999,-38.0503,-36.17199,-37.111145,9.50853,6.91201,9.50853,7360.03,0.838222,1367.22,1857.63,2216.15,0,0,0,1,1367.22,0,1396.93,0.1898,0.226432,0,0,0,1396.93,0,0,0,0,1,9.50853,6.91201,9.50853,120,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0.147260624
KUZYUB_clean,0.292554847,0.267882863,0.024671984,-28.77659,-27.817,-28.296795,17.7842,17.45036,17.7842,5323.85,1.09527,608.177,1142.36,1043,0,0,0,1,608.177,0,2302.03,0.4324,0.394788,0,0,0,2302.03,0,0,0,0,1,17.7842,17.4504,17.7842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0,0,0,0,0,0,0.149408206
RONZID_clean,0.239222337,0.21405112,0.025171217,-30.52944,-29.99046,-30.25995,6.4621,4.91137,6.21843,983.301,1.11083,255.886,2602.32,2342.67,0,0,0,1,255.886,0,148.085,0.1506,0.135574,0,0,0,148.085,0,0,0,0,1,6.4621,4.91137,6.4621,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14890542
XAKYUE_clean,0.25947506,0.233522441,0.025952619,-34.029,-32.32242,-33.17571,12.06174,7.90716,12.06174,14543.1,0.881143,1966.46,1352.16,1534.56,0,0,0,1,1966.46,0,2408.33,0.1656,0.187938,0,0,0,2408.33,0,8,0,0,2,12.0617,7.90716,12.0617,312,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0.148170759
SOHGUS_clean,0.387655356,0.360640866,0.02701449,-37.51177,-36.35573,-36.93375,9.42463,7.9132,9.42463,4903.02,0.723839,832.195,1697.31,2344.88,0,0,0,2,416.233,0,1138.48,0.2322,0.32079,0,0,0,587.382,0,0,0,0,2,9.42463,7.9132,9.42463,64,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147162735
VALXAK_clean,0.372028025,0.344825512,0.027202513,-37.84743,-37.2833,-37.565365,10.04531,6.16787,8.16587,11097.2,0.742505,1570.82,1415.51,1906.4,545.723,491.767,662.308,1,1570.82,2,1813.28,0.1634,0.220066,528.226,0.0476,0.0641073,1813.28,2,24,281.868,278.239,1,8.16587,6.16787,8.16587,72,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0.146998106
AXUHAD_clean,0.269679597,0.242906715,0.026772881,-36.86799,-35.40696,-36.137475,9.91084,4.79971,9.90368,11562.8,0.792408,1703.16,1472.97,1858.85,0,0,0,2,849.328,0,1773.73,0.1534,0.193587,0,0,0,878.771,0,8,0,0,2,9.91084,4.79971,9.91084,272,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0.14734032
KASRAZ_clean,0.265499409,0.237855741,0.027643668,-39.7841,-38.29861,-39.041355,5.88963,4.0935,5.88963,4910.54,0.986437,988.952,2013.94,2041.63,0,0,0,1,988.952,0,441.948,0.09,0.0912374,0,0,0,441.948,0,8,0,0,1,5.88963,4.0935,5.88963,64,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0.146585284
WEYQAU03_clean,0.204729789,0.177222745,0.027507044,-38.84033,-38.3718,-38.606065,4.34653,3.52599,4.34653,3093.99,1.12516,377.865,1221.29,1085.44,0,0,0,2,189.636,0,42.697,0.0138,0.012265,0,0,0,22.2767,0,0,0,0,0,0,0,0,24,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0.146689278
